,object id,city,district,sub district key,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition
12048,201351,11,5,5010314,Carl-Schurz-Straße,2019,11,7,5,3,5,2,0,0,1,0,0,0,1,0
12049,201352,11,3,3020307,Buchholz,2019,11,8,4,3,0,2,0,1,1,0,0,0,0,1
12050,201353,11,2,2040701,Andreasviertel,2019,11,21,4,3,5,3,2,0,1,0,0,0,0,1
12051,201354,11,11,11010310,Mühlengrund,2019,11,19,4,3,6,4,2,0,1,1,0,0,0,0
12052,201355,11,3,3030406,Alt-Karow,2019,11,19,4,3,5,3,2,0,1,0,0,0,0,1
12053,201356,11,2,2020206,Graefekiez,2019,11,17,4,3,4,7,2,1,0,0,0,0,0,1
12054,201357,11,1,1033202,Humboldthain Süd,2019,11,17,4,3,5,3,2,1,1,0,0,0,0,1
12055,201358,11,10,10040828,Kaulsdorf Nord,2019,11,17,4,3,5,3,2,0,1,0,0,1,0,1
12056,201359,11,10,10010309,Springpfuhl,2019,11,17,4,3,5,2,2,1,1,0,0,0,0,1
12057,201360,11,5,5030731,Gartenfelder Straße,2019,11,16,4,3,5,3,2,0,1,0,0,0,0,0
12058,201361,11,9,9010301,Baumschulenstraße,2019,11,22,4,3,0,1,2,0,0,0,0,0,1,0
12059,201362,11,8,8010118,Silbersteinstraße,2019,11,22,4,3,0,7,2,0,1,0,1,0,0,0
12060,201363,11,2,2020203,Viktoriapark,2019,11,19,4,3,0,2,2,0,1,0,1,0,0,1
12061,201364,11,4,4051445,Eisenzahnstraße,2019,11,21,4,3,5,3,2,0,1,0,0,0,0,0
12062,201365,11,9,9020701,Adlershof West,2019,11,12,4,3,5,3,0,0,1,0,0,0,0,1
12063,201366,11,7,7060604,Marienfelde Süd,2019,11,11,4,3,9,1,0,0,1,0,0,0,0,1
12064,201367,11,8,8010404,Rixdorf,2019,11,10,4,3,2,6,0,1,1,0,0,0,0,1
12065,201368,11,1,1011202,Unter den Linden Nord,2019,11,10,4,2,2,6,0,1,1,0,0,0,0,1
12066,201369,11,2,2050802,Boxhagener Platz,2019,11,10,4,3,5,7,0,1,1,0,0,0,0,1
12067,201370,11,8,8010301,Reuterkiez,2019,11,10,4,3,0,6,0,0,1,0,1,0,0,1
12068,201371,11,7,7050505,Hundsteinweg,2019,11,9,4,3,4,7,0,1,0,0,0,0,0,0
12069,201372,11,11,11020514,Große-Leege-Straße,2019,11,9,4,3,6,4,0,0,1,1,0,0,0,1
12070,201373,11,5,5010101,Hakenfelde Nord,2019,11,8,4,3,0,1,0,0,0,0,1,0,0,1
12071,201374,11,4,4020313,Königin-Elisabeth-Straße,2019,11,8,4,2,6,4,0,0,0,1,1,0,0,1
12072,201375,11,4,4051446,Preußenpark,2019,11,8,4,2,6,2,0,0,0,1,0,1,0,1
