,object id,district,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition,district name,category name,accident detail,accident type detail,light condition,road condition detail
10498,199801,1,Humboldthain Nordwest,2019,9,14,6,3,2,6,0,0,1,0,0,0,0,1,Mitte,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery
10499,199802,9,Köpenick Nord,2019,10,12,2,3,5,3,0,1,1,0,0,0,0,0,Treptow-Köpenick,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry
10500,199803,1,Reinickendorfer Straße,2019,10,12,2,3,5,2,0,0,1,0,0,0,0,0,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry
10501,199804,10,Gut Hellersdorf,2019,9,14,6,3,6,4,0,0,1,1,0,0,0,1,Marzahn-Hellersdorf,Accident with minor injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Wet/moist/slippery
10502,199805,5,Ackerstraße,2019,10,8,2,3,2,2,0,0,1,0,0,0,0,0,Spandau,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Turning accident,Daylight,Dry
10503,199806,1,Westliche Müllerstraße,2019,9,14,6,3,5,3,0,1,1,0,0,0,0,1,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Wet/moist/slippery
10504,199807,4,Droysenstraße,2019,10,8,2,3,5,7,0,0,1,0,0,0,0,0,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Others,Daylight,Dry
10505,199808,9,Dammvorstadt,2019,9,14,6,3,5,2,0,1,1,0,0,0,0,1,Treptow-Köpenick,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Wet/moist/slippery
10506,199809,12,Letteplatz,2019,10,7,2,3,5,2,0,1,1,0,0,0,0,0,Reinickendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry
10507,199810,5,Ackerstraße,2019,9,14,6,3,5,3,0,0,1,0,0,0,0,1,Spandau,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Wet/moist/slippery
10508,199811,7,Horstwalder Straße/Paplitzer Straße,2019,10,12,2,3,6,2,0,0,1,1,0,0,0,0,Tempelhof-Schöneberg,Accident with minor injuries,Collision between vehicle and pedestrian,Turning accident,Daylight,Dry
10509,199812,12,Breitkopfbecken,2019,10,1,2,2,1,7,2,0,1,0,0,0,0,0,Reinickendorf,Accident with serious injuries,Collision with a moving/standing/parked vehicle,Others,Dark,Dry
10510,199813,6,Goerzwerke,2019,9,14,6,3,5,3,0,0,1,0,1,0,0,1,Steglitz-Zehlendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Wet/moist/slippery
10511,199814,4,Schaperstraße,2019,9,13,6,3,5,2,0,1,1,0,0,0,0,1,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Wet/moist/slippery
10512,199815,5,Ackerstraße,2019,10,11,2,3,1,7,0,0,1,0,0,0,0,0,Spandau,Accident with minor injuries,Collision with a moving/standing/parked vehicle,Others,Daylight,Dry
10513,199816,3,Volkspark Prenzlauer Berg,2019,10,11,2,2,6,4,0,0,1,1,0,0,0,0,Pankow,Accident with serious injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Dry
10514,199817,4,Eisenzahnstraße,2019,9,13,6,3,2,2,0,0,1,0,0,0,1,1,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Turning accident,Daylight,Wet/moist/slippery
10515,199818,1,Heine-Viertel Ost,2019,10,11,2,3,5,2,0,0,1,0,1,0,0,0,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry
10516,199819,2,Urbanstraße,2019,9,12,6,3,2,6,0,0,1,0,0,0,1,1,Friedrichshain - Kreuzberg,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery
10517,199820,9,Oberschöneweide West,2019,10,10,2,2,5,3,0,1,1,0,0,0,0,0,Treptow-Köpenick,Accident with serious injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry
10518,199821,2,Stralauer Kiez,2019,10,5,1,3,1,5,2,1,1,0,0,0,1,1,Friedrichshain - Kreuzberg,Accident with minor injuries,Collision with a moving/standing/parked vehicle,Accident involving parked vehicles,Dark,Wet/moist/slippery
10519,199822,7,John-Locke-Straße,2019,9,13,6,3,1,6,0,1,1,0,0,0,0,1,Tempelhof-Schöneberg,Accident with minor injuries,Collision with a moving/standing/parked vehicle,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery
10520,199823,10,Ringkolonnaden,2019,10,14,1,3,5,3,0,1,1,0,0,0,0,0,Marzahn-Hellersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry
