,Unnamed: 0,object id,district,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition,district name,category name,accident detail,accident type detail,light condition,road condition detail,accident count by district,est. population
6345,6345,195648,4,Rathaus Wilmersdorf,2019,5,14,5,3,2,6,0,0,1,0,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry,1727,343592.0
6346,6346,195649,11,Rüdigerstraße,2019,6,12,5,2,6,2,0,0,1,1,0,0,0,0.0,Lichtenberg,Accident with serious injuries,Collision between vehicle and pedestrian,Turning accident,Daylight,Dry,679,294201.0
6347,6347,195650,11,Weitlingstraße,2019,5,13,5,3,6,2,0,0,0,1,0,0,1,0.0,Lichtenberg,Accident with minor injuries,Collision between vehicle and pedestrian,Turning accident,Daylight,Dry,679,294201.0
6348,6348,195651,2,Friedenstraße,2019,6,12,5,3,5,2,0,1,1,0,0,0,0,0.0,Friedrichshain-Kreuzberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,1381,290386.0
6349,6349,195652,5,Alt-Gatow,2019,5,13,5,2,1,5,0,1,1,0,0,0,0,0.0,Spandau,Accident with serious injuries,Collision with a moving/standing/parked vehicle,Accident involving parked vehicles,Daylight,Dry,798,245197.0
6350,6350,195653,6,Schweizer Viertel,2019,5,10,5,2,5,7,0,0,1,0,1,0,0,0.0,Steglitz-Zehlendorf,Accident with serious injuries,Collision with a turning/crossing vehicle,Others,Daylight,Dry,851,310071.0
6351,6351,195654,1,Zillesiedlung,2019,6,12,5,3,5,2,0,0,1,0,1,0,0,0.0,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,2215,385748.0
6352,6352,195655,5,Borkumer Straße,2019,5,6,5,2,1,5,0,0,1,0,0,0,0,0.0,Spandau,Accident with serious injuries,Collision with a moving/standing/parked vehicle,Accident involving parked vehicles,Daylight,Dry,798,245197.0
6353,6353,195656,9,Oberschöneweide West,2019,6,12,5,3,2,6,0,0,1,0,0,0,0,0.0,Treptow-Köpenick,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry,892,273689.0
6354,6354,195657,12,Tegeler Forst,2019,5,16,4,3,2,6,0,0,1,0,0,0,0,0.0,Reinickendorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry,867,266408.0
6355,6355,195658,2,Chamissokiez,2019,6,11,5,2,5,7,0,1,1,0,0,0,0,0.0,Friedrichshain-Kreuzberg,Accident with serious injuries,Collision with a turning/crossing vehicle,Others,Daylight,Dry,1381,290386.0
6356,6356,195659,4,Plötzensee,2019,5,18,4,3,2,2,0,1,1,0,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Turning accident,Daylight,Dry,1727,343592.0
6357,6357,195660,6,Nikolassee,2019,6,11,5,3,5,2,0,0,1,0,1,0,0,0.0,Steglitz-Zehlendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,851,310071.0
6358,6358,195661,2,Wriezener Bahnhof/Entwicklungsgebiet,2019,5,18,4,3,5,2,0,1,0,0,0,0,1,0.0,Friedrichshain-Kreuzberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,1381,290386.0
6359,6359,195662,1,Emdener Straße,2019,5,16,4,3,3,6,0,0,1,0,1,0,0,0.0,Mitte,Accident with minor injuries,Collision with a vehicle traveling laterally in the same direction,Collision involving vehicles going in the same way,Daylight,Dry,2215,385748.0
6360,6360,195663,10,Alt-Marzahn,2019,6,11,5,3,2,6,0,0,1,0,0,0,0,0.0,Marzahn-Hellersdorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry,586,269967.0
6361,6361,195664,9,Bölschestraße,2019,6,7,5,3,6,2,0,0,1,1,0,0,0,0.0,Treptow-Köpenick,Accident with minor injuries,Collision between vehicle and pedestrian,Turning accident,Daylight,Dry,892,273689.0
6362,6362,195665,9,Dammvorstadt,2019,5,23,4,3,0,1,2,1,0,0,0,0,0,0.0,Treptow-Köpenick,Accident with minor injuries,Others,Driving accident,Dark,Dry,892,273689.0
6363,6363,195666,4,Richard-Wagner-Straße,2019,5,17,4,3,6,4,0,0,1,1,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Dry,1727,343592.0
6364,6364,195667,2,Boxhagener Platz,2019,6,10,5,3,5,5,0,0,1,0,1,0,0,0.0,Friedrichshain-Kreuzberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Accident involving parked vehicles,Daylight,Dry,1381,290386.0
6365,6365,195668,1,Leipziger Straße,2019,5,20,4,3,0,2,1,1,0,0,0,1,0,0.0,Mitte,Accident with minor injuries,Others,Turning accident,Twilight,Dry,2215,385748.0
6366,6366,195669,4,Spreestadt,2019,6,10,5,3,2,2,0,0,1,0,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Turning accident,Daylight,Dry,1727,343592.0
6367,6367,195670,4,Prager Platz,2019,5,18,4,3,5,3,0,1,1,0,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,1727,343592.0
6368,6368,195671,9,Baumschulenstraße,2019,5,18,4,2,5,2,0,0,1,0,0,0,0,0.0,Treptow-Köpenick,Accident with serious injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,892,273689.0
6369,6369,195672,4,Schaperstraße,2019,6,9,5,3,6,2,0,1,0,1,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision between vehicle and pedestrian,Turning accident,Daylight,Dry,1727,343592.0
6370,6370,195673,2,Viktoriapark,2019,5,23,4,3,5,3,2,0,1,0,0,0,0,0.0,Friedrichshain-Kreuzberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Dark,Dry,1381,290386.0
6371,6371,195674,11,Weitlingstraße,2019,5,22,4,3,5,2,2,0,1,0,0,0,0,0.0,Lichtenberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Dark,Dry,679,294201.0
6372,6372,195675,11,Mühlengrund,2019,6,9,5,2,6,4,0,0,0,1,0,0,1,0.0,Lichtenberg,Accident with serious injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Dry,679,294201.0
6373,6373,195676,3,Pankow Süd,2019,5,21,4,3,5,2,1,1,1,0,0,0,0,0.0,Pankow,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Twilight,Dry,1219,409335.0
6374,6374,195677,3,Helmholtzplatz,2019,5,18,4,3,0,2,0,0,1,0,1,0,0,0.0,Pankow,Accident with minor injuries,Others,Turning accident,Daylight,Dry,1219,409335.0
6375,6375,195678,4,Hindemithplatz,2019,6,19,5,3,2,6,0,1,0,0,1,0,0,1.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery,1727,343592.0
6376,6376,195679,1,Leopoldplatz,2019,5,18,4,3,5,2,0,1,1,0,0,0,0,0.0,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,2215,385748.0
6377,6377,195680,1,Oranienburger Straße,2019,6,18,5,3,0,1,0,1,0,0,0,0,0,1.0,Mitte,Accident with minor injuries,Others,Driving accident,Daylight,Wet/moist/slippery,2215,385748.0
6378,6378,195681,5,Borkumer Straße,2019,5,15,4,3,6,2,0,0,1,1,0,0,0,0.0,Spandau,Accident with minor injuries,Collision between vehicle and pedestrian,Turning accident,Daylight,Dry,798,245197.0
6379,6379,195682,1,Oranienburger Straße,2019,6,18,5,3,0,3,0,1,0,0,1,0,0,1.0,Mitte,Accident with minor injuries,Others,Turning/Crossing accident,Daylight,Wet/moist/slippery,2215,385748.0
6380,6380,195683,10,Kaulsdorf Süd,2019,5,18,4,3,5,3,0,1,1,0,0,0,0,0.0,Marzahn-Hellersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,586,269967.0
6381,6381,195684,5,Carl-Schurz-Straße,2019,6,18,5,3,0,2,0,1,1,0,0,0,0,1.0,Spandau,Accident with minor injuries,Others,Turning accident,Daylight,Wet/moist/slippery,798,245197.0
6382,6382,195685,6,Fichtenberg,2019,5,9,4,2,3,6,0,0,1,0,1,0,0,0.0,Steglitz-Zehlendorf,Accident with serious injuries,Collision with a vehicle traveling laterally in the same direction,Collision involving vehicles going in the same way,Daylight,Dry,851,310071.0
6383,6383,195686,2,Lausitzer Platz,2019,5,11,4,3,5,3,0,1,1,0,0,0,0,0.0,Friedrichshain-Kreuzberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,1381,290386.0
6384,6384,195687,1,Wilhelmstraße,2019,6,18,5,2,5,3,1,1,1,0,0,0,0,1.0,Mitte,Accident with serious injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Twilight,Wet/moist/slippery,2215,385748.0
6385,6385,195688,12,Treuenbrietzener Straße,2019,6,18,5,3,5,2,0,1,1,0,0,0,0,1.0,Reinickendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Wet/moist/slippery,867,266408.0
6386,6386,195689,4,Preußenpark,2019,5,18,4,3,2,6,0,0,1,0,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry,1727,343592.0
6387,6387,195690,4,Hagenplatz,2019,5,11,4,3,5,2,0,0,1,0,0,1,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,1727,343592.0
6388,6388,195691,6,Fischtal,2019,6,18,5,2,6,4,0,0,1,1,0,0,0,1.0,Steglitz-Zehlendorf,Accident with serious injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Wet/moist/slippery,851,310071.0
6389,6389,195692,7,Nollendorfplatz,2019,5,11,4,3,5,7,0,0,1,0,0,0,0,0.0,Tempelhof-Schöneberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Others,Daylight,Dry,1241,350984.0
6390,6390,195693,1,Charitéviertel,2019,6,18,5,3,0,1,0,0,0,0,1,0,0,1.0,Mitte,Accident with minor injuries,Others,Driving accident,Daylight,Wet/moist/slippery,2215,385748.0
6391,6391,195694,5,Carl-Schurz-Straße,2019,5,11,4,3,5,2,0,0,1,0,1,0,0,0.0,Spandau,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,798,245197.0
6392,6392,195695,2,Oranienplatz,2019,6,17,5,2,6,4,0,0,0,1,1,0,0,1.0,Friedrichshain-Kreuzberg,Accident with serious injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Wet/moist/slippery,1381,290386.0
6393,6393,195696,2,Wriezener Bahnhof/Entwicklungsgebiet,2019,5,12,4,3,1,5,0,1,1,0,0,0,1,0.0,Friedrichshain-Kreuzberg,Accident with minor injuries,Collision with a moving/standing/parked vehicle,Accident involving parked vehicles,Daylight,Dry,1381,290386.0
6394,6394,195697,12,Heiligensee,2019,6,16,5,2,0,1,0,1,0,0,0,0,0,1.0,Reinickendorf,Accident with serious injuries,Others,Driving accident,Daylight,Wet/moist/slippery,867,266408.0
